Temp,CPU
48.0,1500345728
49.0,1500345728
51.0,1500345728
51.0,1500398464
50.0,1500398464
52.0,1500345728
52.0,1500345728
52.0,1500345728
53.0,1500345728
53.0,1500345728
53.0,1500345728
54.0,1500345728
53.0,1500398464
54.0,1500345728
54.0,1500345728
54.0,1500398464
54.0,1500345728
55.0,1500345728
54.0,1500345728
54.0,1500345728
54.0,1500345728
55.0,1500345728
55.0,1500345728
54.0,1500345728
55.0,1500345728
55.0,1500345728
55.0,1500345728
55.0,1500345728
54.0,1500398464
55.0,1500398464
54.0,1500398464
55.0,1500345728
55.0,1500398464
55.0,1500345728
54.0,1500345728
55.0,1500345728
55.0,1500345728
56.0,1500398464
55.0,1500345728
55.0,1500398464
56.0,1500345728
55.0,1500398464
55.0,1500345728
55.0,1500398464
56.0,1500345728
55.0,1500345728
56.0,1500398464
56.0,1500398464
56.0,1500345728
55.0,1500345728
55.0,1500398464
56.0,1500398464
55.0,1500398464
54.0,1500398464
55.0,1500345728
55.0,1500345728
55.0,1500345728
56.0,1500345728
56.0,1500398464
56.0,1500345728
55.0,1500345728
55.0,1500345728
56.0,1500345728
56.0,1500398464
56.0,1500398464
56.0,1500345728
56.0,1500345728
57.0,1500345728
56.0,1500345728
55.0,1500345728
55.0,1500398464
56.0,1500345728
56.0,1500345728
56.0,1500345728
56.0,1500398464
55.0,1500345728
56.0,1500345728
55.0,1500345728
55.0,1500345728
56.0,1500345728
56.0,1500398464
57.0,1500345728
57.0,1500345728
56.0,1500345728
57.0,1500398464
56.0,1500398464
56.0,1500345728
56.0,1500345728
56.0,1500345728
57.0,1500398464
56.0,1500398464
57.0,1500345728
57.0,1500398464
56.0,1500345728
55.0,1500398464
57.0,1500398464
56.0,1500345728
56.0,1500398464
55.0,1500398464
56.0,1500345728
56.0,1500345728
56.0,1500345728
57.0,1500398464
56.0,1500398464
57.0,1500398464
57.0,1500345728
57.0,1500398464
57.0,1500398464
58.0,1500398464
55.0,1500398464
56.0,1500345728
56.0,1500345728
57.0,1500345728
56.0,1500345728
56.0,1500345728
58.0,1500345728
57.0,1500345728
57.0,1500345728
56.0,1500345728
56.0,1500345728
57.0,1500345728
57.0,1500345728
57.0,1500398464
57.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500345728
57.0,1500398464
56.0,1500345728
58.0,1500345728
58.0,1500345728
56.0,1500398464
56.0,1500345728
57.0,1500398464
58.0,1500345728
57.0,1500345728
58.0,1500398464
57.0,1500398464
58.0,1500345728
57.0,1500398464
57.0,1500398464
57.0,1500345728
57.0,1500398464
56.0,1500345728
57.0,1500345728
57.0,1500398464
56.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500398464
57.0,1500398464
57.0,1500345728
57.0,1500398464
58.0,1500398464
57.0,1500345728
57.0,1500345728
57.0,1500345728
58.0,1500398464
57.0,1500398464
56.0,1500345728
57.0,1500398464
56.0,1500345728
57.0,1500345728
58.0,1500345728
57.0,1500398464
57.0,1500345728
56.0,1500345728
58.0,1500345728
57.0,1500398464
56.0,1500398464
57.0,1500345728
58.0,1500345728
58.0,1500345728
57.0,1500345728
57.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500345728
57.0,1500398464
57.0,1500398464
57.0,1500398464
58.0,1500345728
58.0,1500345728
57.0,1500345728
57.0,1500398464
57.0,1500398464
57.0,1500398464
57.0,1500345728
58.0,1500345728
58.0,1500398464
58.0,1500398464
58.0,1500345728
58.0,1500398464
57.0,1500398464
57.0,1500398464
58.0,1500345728
57.0,1500398464
58.0,1500345728
58.0,1500345728
58.0,1500398464
57.0,1500398464
58.0,1500345728
58.0,1500398464
59.0,1500398464
59.0,1500345728
57.0,1500345728
58.0,1500398464
57.0,1500398464
57.0,1500345728
57.0,1500398464
57.0,1500345728
57.0,1500345728
58.0,1500345728
57.0,1500398464
58.0,1500398464
57.0,1500345728
58.0,1500398464
58.0,1500345728
58.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500398464
57.0,1500345728
58.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500345728
58.0,1500398464
58.0,1500398464
57.0,1500398464
58.0,1500398464
58.0,1500345728
57.0,1500345728
58.0,1500345728
59.0,1500398464
58.0,1500398464
57.0,1500345728
57.0,1500345728
58.0,1500345728
57.0,1500345728
58.0,1500345728
59.0,1500345728
58.0,1500345728
59.0,1500398464
57.0,1500345728
57.0,1500398464
59.0,1500345728
58.0,1500398464
58.0,1500398464
58.0,1500398464
58.0,1500398464
58.0,1500345728
58.0,1500398464
60.0,1500345728
59.0,1500345728
58.0,1500345728
58.0,1500345728
58.0,1500345728
